cdc,9882065,8582,63,138
cdd,9962159,7745,109,207
cde,9994106,9925,224,474
cdf,9943344,8944,67,216
cdg,9700821,10364,10,31
cea,9690524,9689,20,66
ceb,9787498,8880,203,278
cec,9924563,8417,73,141
ced,9834496,9914,37,56
cee,9687409,8670,141,297
cef,9947074,9857,28,88
ceg,9739748,7909,39,100
cfa,9909893,10399,48,119
cfb,9828807,7935,29,77
cfc,9849187,9357,93,291
cfd,9857051,8431,184,288
cfe,9838363,9686,242,459
cff,9835478,9250,102,230
cfg,9949213,8292,13,48
cga,9792128,8762,168,384
cgb,9985361,8269,5,6
cgc,9959393,7843,138,316
cgd,9643301,8019,66,294
cge,9978713,9164,131,223
cgf,9785531,10212,229,330
cgg,9694441,8740,113,167
daa,9743196,9916,64,106
dab,9511185,7225,146,229
dac,9974370,7547,208,293
dad,9834743,9579,69,154
dae,9731501,7813,32,95
daf,9959022,11704,92,269
dag,9983330,8127,183,417
dba,9923994,9745,36,82
dbb,9718826,7034,116,217
dbc,9700113,7263,220,338
dbd,9855191,9230,143,245
dbe,9534547,10198,97,273
dbf,9358579,8703,63,154
dbg,9875212,8923,150,245
dca,9516790,9305,129,220
dcb,9950569,8351,203,441
dcc,9982291,8526,107,257
dcd,9964319,7120,147,305
dce,9984513,9469,81,209
dcf,9690694,9711,196,324
dcg,9774740,8784,125,190
dda,9911356,9212,175,271
ddb,9910060,10269,18,54
ddc,9817598,9748,152,286
ddd,9647966,9030,73,108
dde,9932715,9101,52,132
ddf,9757618,8303,42,120
ddg,9471302,8526,304,494
dea,9898252,10013,65,113
deb,9930014,8324,57,117
dec,9993785,7758,241,478
ded,9834474,8597,172,372
dee,9965668,9519,161,311
def,9875405,10652,98,161
deg,9954047,9456,180,398
dfa,9931614,7621,59,94
dfb,9266672,8810,83,141
dfc,9887466,10694,34,74
dfd,9995104,8274,100,200
dfe,9870768,10140,169,263
dff,9998124,8837,73,183
dfg,9953652,8909,117,274
dga,9980825,10106,154,243
dgb,9884671,8221,199,257
dgc,9527174,7920,132,296
dgd,9954300,8707,159,324
dge,9711211,9965,23,61
dgf,9605518,8503,218,292
dgg,9927231,7020,43,96
eaa,9842460,10890,10,44
eab,9746264,9596,38,69
eac,9983082,9722,31,126
ead,9926910,7496,323,486
eae,9533545,8520,68,156
eaf,9732139,10093,225,368
eag,9818171,9091,127,260
eba,9953859,10847,39,113
ebb,9941400,7763,10,36
ebc,9661977,10350,14,45
ebd,9543936,9561,61,179
ebe,9816365,10162,98,235
ebf,9874028,10310,104,300
ebg,9988654,11172,60,131
eca,9837795,8549,78,257
ecb,9641890,9460,25,82
ecc,9491971,10702,32,94
ecd,9638003,9013,245,371
ece,9904494,9830,17,36
ecf,9929630,9423,261,434
ecg,9591056,8196,178,242
eda,9760257,8371,18,59
edb,9914713,9136,59,298
edc,9882699,8309,9,52
edd,9790619,9978,83,155
ede,9916917,8608,78,127
edf,9916277,9683,421,687
edg,9959399,7643,168,344
eea,9909172,9886,151,348
eeb,9962582,9411,17,97
eec,9449903,8784,199,284
eed,9751655,9885,129,309
eee,9579157,8030,99,190
eef,9834323,9561,135,216
eeg,9876358,10990,21,67
efa,9898237,8738,62,280
efb,9873495,9563,138,290
efc,9716840,9212,19,45
efd,9835797,9547,203,374
efe,9805273,7504,143,237
eff,9869419,8880,41,158
efg,9812440,6697,404,678
ega,9611247,11077,244,598
egb,9640637,9712,24,43
egc,9881425,8543,171,298
egd,9855543,8170,161,230
ege,9269046,11834,99,341
egf,9934063,8251,169,338
egg,9778380,7797,28,110
faa,9620564,8433,38,88
fab,9938797,10022,26,109
fac,9742062,8094,14,55
fad,9983309,10155,159,280
fae,9895250,9346,115,217
faf,9975961,9927,60,150
fag,9962708,8699,174,328
fba,9836361,8125,155,238
fbb,9947972,9409,956,3382
fbc,8949769,10774,16,57
fbd,9846430,7016,15,29
fbe,9905347,9300,156,391
fbf,9935437,7463,89,212
fbg,9924577,7980,88,175
fca,9691777,9198,106,295
fcb,9751531,9420,79,141
fcc,9735665,7356,45,169
fcd,9982642,8942,284,381
fce,9987207,10406,106,286
fcf,9907359,8444,15,30
fcg,9808176,8813,170,261
fda,9911062,10071,99,276
fdb,9711505,8548,139,284
fdc,9580054,9550,6,22
fdd,9918382,9360,12,33
fde,9933346,7880,512,1017
fdf,9890080,9126,176,306
fdg,9865953,8998,267,411
fea,9973574,10456,764,1194
feb,9965077,9112,52,177
fec,9971203,10126,39,104
fed,9882799,11017,237,388
fee,9981865,9529,88,123
fef,9988067,9095,173,300
feg,9654794,8274,45,122
ffa,9316105,8422,53,125
ffb,9830836,8647,159,327
ffc,9914503,6664,89,227
ffd,9971087,8644,249,427
ffe,9927030,8648,36,54
fff,9772522,8543,9,23
ffg,9797680,8419,127,207
fga,9393796,6937,171,319
fgb,9660664,10340,61,109
fgc,9882858,11303,139,226
fgd,9895849,10045,5,7
fge,9795906,8052,117,237
fgf,9722005,7956,55,128
fgg,9794581,7953,250,428
gaa,9985374,9461,392,574
gab,9976858,7315,24,57
gac,9867371,8968,158,213
gad,9947830,10083,112,286
gae,9954325,11002,91,192
gaf,9965427,10614,129,297
gag,9855110,9208,18,40
gba,9926367,8898,18,70
gbb,9706707,9302,32,79
gbc,9990262,8860,37,102
gbd,9979194,9345,90,194
gbe,9683831,8589,177,290
gbf,9866820,8483,193,281
gbg,9954513,10076,159,320
gca,9948664,9971,20,47
gcb,9989263,9818,112,172
gcc,9864299,10585,138,338
gcd,9911951,7553,303,486
gce,9943090,9568,82,152
gcf,9769349,11005,96,249
gcg,9977344,6716,36,104
gda,9921429,7537,20,79
gdb,9819569,7444,117,178
gdc,9864123,7545,6,16
gdd,9459804,8576,265,400
gde,9895106,8619,171,307
gdf,9984695,8919,156,256
gdg,9940109,9514,136,262
gea,9683477,8321,223,348
geb,9676947,7605,290,427
gec,9899532,8415,261,385
ged,9778834,10108,5,14
gee,9801700,9928,246,355
gef,9466281,8097,37,99
geg,9919652,7836,185,287
gfa,9869899,7417,85,177
gfb,9688077,9416,95,284
gfc,9979958,9692,7,20
gfd,9658604,8458,194,267
gfe,9755645,10133,93,304
gff,9773263,8742,80,194
gfg,9919492,8359,305,528
gga,9394512,9178,35,63
ggb,9967374,9361,80,285
ggc,9831723,9252,268,430
ggd,9661335,8573,60,134
gge,9715229,7425,209,385
ggf,9722735,7470,205,332
ggg,9711502,9871,289,506
